global_step,predictor_x_gap_mse
1,2.6773123903431257e-11
2,1.2414541168061506e-06
3,6.224690536927793e-07
4,4.168723526407803e-07
5,3.146375516062794e-07
6,2.5377145614164023e-07
7,2.1355171047175835e-07
8,1.8517255491320452e-07
9,1.6411897540103493e-07
10,1.4797718698893345e-07
11,1.3529748202088357e-07
12,1.2510869096103294e-07
13,1.1683037737531361e-07
14,1.0988563785119242e-07
15,1.0414771087049238e-07
16,9.923629024943115e-08
17,9.509591692512084e-08
18,9.15311494037979e-08
19,8.845279802588834e-08
20,8.578214287267965e-08
21,8.346552185010075e-08
22,8.143872423841071e-08
23,7.966070338180424e-08
24,7.80918206049465e-08
25,7.668459302965654e-08
26,7.547140912177486e-08
27,7.438489246616005e-08
28,7.344066427768272e-08
29,7.261440438655701e-08
30,7.182374633951635e-08
31,7.113918107363144e-08
32,7.05548153377e-08
33,7.002145676113259e-08
34,6.958730496199406e-08
35,6.91177771346969e-08
36,6.871020187918857e-08
37,6.836902321825945e-08
38,6.806049342004156e-08
39,6.779378872183735e-08
40,6.753423267519198e-08
41,6.73045822104391e-08
42,6.712780621959205e-08
43,6.695611546360087e-08
44,6.679436965169595e-08
45,6.666337191498028e-08
46,6.651806716806594e-08
47,6.63938585827171e-08
48,6.62938473136892e-08
49,6.62042723109732e-08
50,6.61261437607496e-08
51,6.603990607291685e-08
52,6.597030557833261e-08
53,6.591537027855718e-08
54,6.585840253441994e-08
55,6.57894610548539e-08
56,6.575602617918364e-08
57,6.571521325355184e-08
58,6.567723620615479e-08
59,6.56390379934319e-08
60,6.560016040701125e-08
61,6.557975771641626e-08
62,6.555659489942534e-08
63,6.556047678220196e-08
64,6.550662655741434e-08
65,6.548266075817608e-08
66,6.547836915605322e-08
67,6.54569387829761e-08
68,6.544737062147932e-08
69,6.545236377589771e-08
70,6.543192899196983e-08
71,6.541785368070791e-08
72,6.543722262695753e-08
73,6.541803779876356e-08
74,6.53949300016817e-08
75,6.54094740114326e-08
76,6.540977595239002e-08
77,6.540209018432948e-08
78,6.537781862529361e-08
79,6.537097731493118e-08
80,6.536886449669164e-08
81,6.537853658465719e-08
82,6.538702255168511e-08
83,6.540440755943384e-08
84,6.537405027016993e-08
85,6.538033221994119e-08
86,6.538993209736956e-08
87,6.537692284887852e-08
88,6.538354655018364e-08
89,6.536745746452884e-08
90,6.535350101256459e-08
91,6.545917492836215e-08
92,6.545475295434885e-08
93,6.539372575226585e-08
94,6.53581739893725e-08
95,6.538900387607743e-08
96,6.544017040772127e-08
97,6.538209451160183e-08
98,6.538947592390992e-08
99,6.534871697347039e-08
100,6.537072697132854e-08
101,6.54049158649975e-08
102,6.539212522604313e-08
103,6.534744679139264e-08
104,6.535996760864884e-08
105,6.53465534679427e-08
106,6.533736120886297e-08
107,6.533784701774067e-08
108,6.534004834730273e-08
109,6.536212446539144e-08
110,6.53479586594751e-08
111,6.535746055474232e-08
112,6.539307017964851e-08
113,6.536025460930192e-08
114,6.535878470344729e-08
115,6.534608796545602e-08
116,6.536212568706027e-08
117,6.533708790404615e-08
118,6.533383487132004e-08
119,6.532781295221024e-08
120,6.532043391384073e-08
121,6.533479457944595e-08
122,6.535624990289896e-08
123,6.536152036367957e-08
124,6.537103230411862e-08
125,6.536790708622517e-08
126,6.535177050247374e-08
127,6.535578724308975e-08
128,6.534743782637664e-08
129,6.535052080851091e-08
130,6.536154065977154e-08
131,6.535624754188576e-08
132,6.536106831906935e-08
133,6.535532266560547e-08
134,6.537299676470834e-08
135,6.536407931517151e-08
136,6.534545978135682e-08
137,6.534419612129266e-08
138,6.535770081534504e-08
139,6.534694671832665e-08
140,6.533634272215376e-08
141,6.532234480393924e-08
142,6.533244396533228e-08
143,6.533987010431892e-08
144,6.53420334417906e-08
145,6.536016362285702e-08
146,6.536565735126248e-08
147,6.534979281625337e-08
148,6.534536424369923e-08
149,6.53419483139074e-08
150,6.53374046757904e-08
151,6.534163836175617e-08
152,6.535602174280462e-08
153,6.534144919190581e-08
154,6.534613669732503e-08
155,6.533900804000373e-08
156,6.532950022701825e-08
157,6.533830553169807e-08
158,6.534665884048611e-08
159,6.535997026886702e-08
160,6.534288992682251e-08
161,6.53466376140318e-08
162,6.534159913965518e-08
163,6.533889548335568e-08
164,6.534284181712563e-08
165,6.534018119885058e-08
166,6.533902525388268e-08
167,6.534638344330386e-08
168,6.534199420462596e-08
169,6.534739629968966e-08
170,6.535905474886008e-08
171,6.535193247559123e-08
172,6.53627636091744e-08
173,6.539465896155548e-08
174,6.535650979886573e-08
175,6.53596113951062e-08
176,6.536525708492742e-08
177,6.538139138341775e-08
178,6.535016175153333e-08
179,6.53450078109656e-08
180,6.534589576302991e-08
181,6.534989752769656e-08
182,6.535213410242759e-08
183,6.541153768033201e-08
184,6.533279909005041e-08
185,6.533405220224268e-08
186,6.535102872066844e-08
187,6.53580617927309e-08
188,6.533239438899254e-08
189,6.537076633123648e-08
190,6.535436331095507e-08
191,6.539012884331338e-08
192,6.53548819531825e-08
193,6.535834943208211e-08
194,6.534190945109905e-08
195,6.535116322635188e-08
196,6.534145983340896e-08
197,6.534709015613236e-08
198,6.53433451725596e-08
199,6.537544664670658e-08
200,6.533941967311449e-08
201,6.533874176852295e-08
202,6.534425526618076e-08
203,6.533763370317318e-08
204,6.53429402043045e-08
205,6.533377287442629e-08
206,6.532538251270397e-08
207,6.53323933125739e-08
208,6.532223957841363e-08
209,6.532416520981124e-08
210,6.534034147449665e-08
211,6.535874506192397e-08
212,6.53476993371408e-08
213,6.534517243126773e-08
214,6.53478903426764e-08
215,6.53635966461642e-08
216,6.535867433184257e-08
217,6.534685036331278e-08
218,6.535378634555973e-08
219,6.535470398037847e-08
220,6.535158132534065e-08
221,6.535151359150685e-08
222,6.534428825020054e-08
223,6.533655531992703e-08
224,6.5341900896183e-08
225,6.534534621880872e-08
226,6.534998589723982e-08
227,6.536002889595868e-08
228,6.534298340007317e-08
229,6.533108952672638e-08
230,6.533261984468869e-08
231,6.533732871009854e-08
232,6.534514811857469e-08
233,6.534739965258519e-08
234,6.534261925519321e-08
235,6.533447643691226e-08
236,6.534610183324352e-08
237,6.534235372424116e-08
238,6.534234517000308e-08
239,6.533572679587015e-08
240,6.533335740550284e-08
241,6.534432720599407e-08
242,6.53445034350638e-08
243,6.534402583141035e-08
244,6.534469188121612e-08
245,6.534396978004854e-08
246,6.53554460769694e-08
247,6.535324180314963e-08
248,6.535677087437007e-08
249,6.535281007966168e-08
250,6.535289470926947e-08
251,6.534887056986189e-08
252,6.53531870339971e-08
253,6.53491797569673e-08
254,6.536617802614865e-08
255,6.535240734576267e-08
256,6.535097729374238e-08
257,6.533423035779357e-08
258,6.533486116247019e-08
259,6.533670072031168e-08
260,6.535687656806608e-08
261,6.5335145827516e-08
262,6.533165815679368e-08
263,6.533826548038967e-08
