global_step,predictor_x_gap_mse
1,3.3609238516965123e-12
2,3.400076784451662e-08
3,1.7041898526911074e-08
4,1.1421201010414895e-08
5,8.62421977756144e-09
6,6.954898184754266e-09
7,5.853348295642214e-09
8,5.0775330953121285e-09
9,4.501540810254544e-09
10,4.0598916188096055e-09
11,3.713185198047474e-09
12,3.43274936249299e-09
13,3.2042040098967005e-09
14,3.0115295875585382e-09
15,2.8539997627474813e-09
16,2.720224545399803e-09
17,2.605773045776186e-09
18,2.5086370735443627e-09
19,2.4238948317270024e-09
20,2.350859395710116e-09
21,2.2877477845539086e-09
22,2.2322237285727865e-09
23,2.183339723261515e-09
24,2.1408291487676623e-09
25,2.1042828614890786e-09
26,2.0705326775676128e-09
27,2.041246274330582e-09
28,2.014585319204993e-09
29,1.9908953467402028e-09
30,1.970797100292061e-09
31,1.9514596303494338e-09
32,1.932778733559212e-09
33,1.9186188010109696e-09
34,1.9051312501746335e-09
35,1.89429330283855e-09
36,1.88337701841785e-09
37,1.874791625827158e-09
38,1.8661070156025696e-09
39,1.8596457809909883e-09
40,1.8525077673205302e-09
41,1.8455634826264186e-09
42,1.8402976439734665e-09
43,1.8368756360403259e-09
44,1.8318607741440196e-09
45,1.8276798686438586e-09
46,1.8236683696525975e-09
47,1.8202136042406193e-09
48,1.8172671844063226e-09
49,1.8150918682349685e-09
50,1.8134439635318209e-09
51,1.8114127013174496e-09
52,1.810526469333668e-09
53,1.8076812358373344e-09
54,1.8073686580174126e-09
55,1.8053184286534192e-09
56,1.8026246369301176e-09
57,1.80267088757537e-09
58,1.801435527715747e-09
59,1.800197842141175e-09
60,1.797815092283478e-09
61,1.7980516710504331e-09
62,1.7975980565195453e-09
63,1.7965383039753826e-09
64,1.7966905820545287e-09
65,1.796911857786435e-09
66,1.796408642402172e-09
67,1.79537388718522e-09
68,1.7947913301765684e-09
69,1.7944484651868732e-09
70,1.794333495846091e-09
71,1.7939830819750061e-09
72,1.7955881058262953e-09
73,1.7948839760588625e-09
74,1.7945730043981241e-09
75,1.7942257207557183e-09
76,1.7942318814793457e-09
77,1.7945890169145668e-09
78,1.7938362591181433e-09
79,1.7948951203515816e-09
80,1.7942333794072795e-09
81,1.7941342543617784e-09
82,1.7933645408994723e-09
83,1.7938243172050892e-09
84,1.7951050747498148e-09
85,1.793734097410007e-09
86,1.793197253619976e-09
87,1.7928307031919278e-09
88,1.7936526255650952e-09
89,1.7933435549797127e-09
90,1.7926736053716583e-09
91,1.7923503705146068e-09
92,1.7913781187089807e-09
93,1.7912060494284387e-09
94,1.7911513186715046e-09
95,1.7927251835771991e-09
96,1.792714702487143e-09
97,1.7933572117518272e-09
98,1.792588819478117e-09
99,1.7929671464919605e-09
100,1.7936004543647126e-09
101,1.7932529799890366e-09
102,1.792749794316928e-09
103,1.7920553487660106e-09
104,1.7936468054618634e-09
105,1.7925650309474813e-09
106,1.7931450641826378e-09
107,1.7926239827823708e-09
108,1.7928559697511495e-09
109,1.7933257738624897e-09
110,1.793412140495675e-09
111,1.7936752849277929e-09
112,1.7948182787308109e-09
113,1.793936748355349e-09
114,1.7946477739278396e-09
115,1.7937047676021476e-09
116,1.7941648470970376e-09
117,1.793159325558602e-09
118,1.7926654061470436e-09
119,1.7920769232583132e-09
120,1.7919269355278077e-09
121,1.7924529706446766e-09
122,1.7913907101750068e-09
123,1.7909288520383186e-09
124,1.7919738875975663e-09
125,1.7920693398163923e-09
126,1.7930667449864404e-09
127,1.793029982464875e-09
128,1.7927138512028183e-09
129,1.7926473790990637e-09
130,1.7925852347834868e-09
